speaker,title,topic,year,month,link
Thomas S. Monson,What Have I Done for Someone Today?, love,10,2009,https://www.churchofjesuschrist.org/general-conference/2009/10/what-have-i-done-for-someone-today?lang=eng
Dallin H. Oaks,Love and Law, love,10,2009,https://www.churchofjesuschrist.org/general-conference/2009/10/love-and-law?lang=eng
Henry B. Eyring,Our Perfect Example, love,10,2009,https://www.churchofjesuschrist.org/general-conference/2009/10/our-perfect-example?lang=eng
Yoon Hwan Choi,I Love Loud Boys, love,10,2009,https://www.churchofjesuschrist.org/general-conference/2009/10/i-love-loud-boys?lang=eng
Dieter F. Uchtdorf,The Love of God, love,10,2009,https://www.churchofjesuschrist.org/general-conference/2009/10/the-love-of-god?lang=eng
William D. Oswald,Gospel Teaching—Our Most Important Calling, love,10,2008,https://www.churchofjesuschrist.org/general-conference/2008/10/gospel-teaching-our-most-important-calling?lang=eng
Thomas S. Monson,Abundantly Blessed, love,04,2008,https://www.churchofjesuschrist.org/general-conference/2008/04/abundantly-blessed?lang=eng
Joseph B. Wirthlin,The Great Commandment, love,10,2007,https://www.churchofjesuschrist.org/general-conference/2007/10/the-great-commandment?lang=eng
Quentin L. Cook,Live by Faith and Not by Fear, love,10,2007,https://www.churchofjesuschrist.org/general-conference/2007/10/live-by-faith-and-not-by-fear?lang=eng
Claudio R. M. Costa,Don’t Leave for Tomorrow What You Can Do Today, love,10,2007,https://www.churchofjesuschrist.org/general-conference/2007/10/don-t-leave-for-tomorrow-what-you-can-do-today?lang=eng
Richard C. Edgley,Enduring Together, love,10,2007,https://www.churchofjesuschrist.org/general-conference/2007/10/enduring-together?lang=eng
Thomas S. Monson,I Know That My Redeemer Lives!, love,04,2007,https://www.churchofjesuschrist.org/general-conference/2007/04/i-know-that-my-redeemer-lives?lang=eng
Bonnie D. Parkin,Gratitude: A Path to Happiness, love,04,2007,https://www.churchofjesuschrist.org/general-conference/2007/04/gratitude-a-path-to-happiness?lang=eng
Susan W. Tanner,Daughters of Heavenly Father, love,04,2007,https://www.churchofjesuschrist.org/general-conference/2007/04/daughters-of-heavenly-father?lang=eng
Bonnie D. Parkin,Eternally Encircled in His Love, love,10,2006,https://www.churchofjesuschrist.org/general-conference/2006/10/eternally-encircled-in-his-love?lang=eng
Gordon B. Hinckley,In the Arms of His Love, love,10,2006,https://www.churchofjesuschrist.org/general-conference/2006/10/in-the-arms-of-his-love?lang=eng
Richard H. Winkel,The Temple Is about Families, love,10,2006,https://www.churchofjesuschrist.org/general-conference/2006/10/the-temple-is-about-families?lang=eng
Margaret S. Lifferth,Behold Your Little Ones, love,10,2006,https://www.churchofjesuschrist.org/general-conference/2006/10/behold-your-little-ones?lang=eng
Joseph B. Wirthlin,The Abundant Life, love,04,2006,https://www.churchofjesuschrist.org/general-conference/2006/04/the-abundant-life?lang=eng
Susan W. Tanner,“I Am the Light Which Ye Shall Hold Up”, love,04,2006,https://www.churchofjesuschrist.org/general-conference/2006/04/i-am-the-light-which-ye-shall-hold-up?lang=eng
Gordon B. Hinckley,Forgiveness, love,10,2005,https://www.churchofjesuschrist.org/general-conference/2005/10/forgiveness?lang=eng
Ulisses Soares,“Feed My Sheep”, love,10,2005,https://www.churchofjesuschrist.org/general-conference/2005/10/feed-my-sheep?lang=eng
Thomas S. Monson,The Prophet Joseph Smith: Teacher by Example, love,10,2005,https://www.churchofjesuschrist.org/general-conference/2005/10/the-prophet-joseph-smith-teacher-by-example?lang=eng
Kathleen H. Hughes,That We May All Sit Down in Heaven Together, love,10,2005,https://www.churchofjesuschrist.org/general-conference/2005/10/that-we-may-all-sit-down-in-heaven-together?lang=eng
Robert J. Whetten,Strengthen Thy Brethren, love,04,2005,https://www.churchofjesuschrist.org/general-conference/2005/04/strengthen-thy-brethren?lang=eng
Adhemar Damiani,Be of Good Cheer and Faithful in Adversity, love,04,2005,https://www.churchofjesuschrist.org/general-conference/2005/04/be-of-good-cheer-and-faithful-in-adversity?lang=eng
Thomas S. Monson,Anxiously Engaged, love,10,2004,https://www.churchofjesuschrist.org/general-conference/2004/10/anxiously-engaged?lang=eng
Gordon B. Hinckley,The Women in Our Lives, love,10,2004,https://www.churchofjesuschrist.org/general-conference/2004/10/the-women-in-our-lives?lang=eng
John H. Groberg,The Power of God’s Love, love,10,2004,https://www.churchofjesuschrist.org/general-conference/2004/10/the-power-of-gods-love?lang=eng
Mervyn B. Arnold,Strengthen Thy Brethren, love,04,2004,https://www.churchofjesuschrist.org/general-conference/2004/04/strengthen-thy-brethren?lang=eng
Clate W. Mask Jr.,Standing Spotless before the Lord, love,04,2004,https://www.churchofjesuschrist.org/general-conference/2004/04/standing-spotless-before-the-lord?lang=eng
Susan W. Tanner,All Things Shall Work Together for Your Good, love,04,2004,https://www.churchofjesuschrist.org/general-conference/2004/04/all-things-shall-work-together-for-your-good?lang=eng
W. Douglas Shumway,Marriage and Family: Our Sacred Responsibility, love,04,2004,https://www.churchofjesuschrist.org/general-conference/2004/04/marriage-and-family-our-sacred-responsibility?lang=eng
Kathleen H. Hughes,In Covenant with Him, love,10,2003,https://www.churchofjesuschrist.org/general-conference/2003/10/in-covenant-with-him?lang=eng
William W. Parmley,"“Come, Follow Me”", love,10,2003,https://www.churchofjesuschrist.org/general-conference/2003/10/come-follow-me?lang=eng
Jeffrey R. Holland,The Grandeur of God, love,10,2003,https://www.churchofjesuschrist.org/general-conference/2003/10/the-grandeur-of-god?lang=eng
Bonnie D. Parkin,Choosing Charity: That Good Part, love,10,2003,https://www.churchofjesuschrist.org/general-conference/2003/10/choosing-charity-that-good-part?lang=eng
Gordon B. Hinckley,Let Us Live the Gospel More Fully, love,10,2003,https://www.churchofjesuschrist.org/general-conference/2003/10/let-us-live-the-gospel-more-fully?lang=eng
David E. Sorensen,Forgiveness Will Change Bitterness to Love, love,04,2003,https://www.churchofjesuschrist.org/general-conference/2003/04/forgiveness-will-change-bitterness-to-love?lang=eng
James E. Faust,Dear Are the Sheep That Have Wandered, love,04,2003,https://www.churchofjesuschrist.org/general-conference/2003/04/dear-are-the-sheep-that-have-wandered?lang=eng
